Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 9,Math,Geometry and measurement,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.","2. Distinguishing dilation and determining its type, center, and scale factor."
Grade 9,Math,Geometry and measurement,"9-4-3-3-1 Distinguishing the relationships between the units of length, mass, and capacity, and using them to convert within these units and between English and metric measurement units.",3. Distinguishing the relationship between the two English units of capacity (cups and gallons) and using them to convert between units.
Grade 9,Math,Geometry and measurement,"9-4-3-3-2 Distinguishing the formulas for perimeter and area of two-dimensional shapes, using them to find perimeters and areas, and solving mathematical problems including real-life applications.","2. Distinguishing the relationship between the perimeters of similar shapes, and using its to find unknown measures."
Grade 9,Math,Geometry and measurement,"9-4-3-3-3 Distinguishing the formulas for volume and surface area of three- dimensional shapes, using them to find volume and surface area, and solving mathematical problems including real-life applications.","1. Describing survey studies and using them to collect and organize data, distinguishing random samples and their types, and classifying them."
Grade 9,Math,Geometry and measurement,"9-4-3-3-3 Distinguishing the formulas for volume and surface area of three- dimensional shapes, using them to find volume and surface area, and solving mathematical problems including real-life applications.","2. Distinguishing the surface area formulas for right square pyramids, right triangular pyramids, cylinders, and cones, and using them to find their surface areas."
Grade 9,Math,Numbers and operations,"9-4-1-1-2 Understanding real numbers, classifying, comparing, and  Ordering them.","1. Finding the square root of a number and approximating it to the nearest whole number or to the nearest decimal place, by using a calculator and without using one."
Grade 9,Math,Numbers and operations,"9-4-1-2-1 Finding the powers of rational numbers, and distinguishing  laws of exponent,  and using them to simplify numerical expressions,  Writing  and finding their values, writing numbers in scientific notation.","1. Finding the power of a rational number (with an integer exponent), distinguishing the laws of exponents, and using them to simplify numerical expressions."
Grade 9,Math,Numbers and operations,"9-4-1-2-1 Finding the powers of rational numbers, and distinguishing  laws of exponent,  and using them to simplify numerical expressions,  Writing  and finding their values, writing numbers in scientific notation.","2. Writing numerical expressions with rational numbers, including powers with integer exponents and parentheses, and finding their values by  using the order of operations."
Grade 9,Math,Numbers and operations,"9-4-1-2-2 Performing the four operations on integers, rational numbers, and square roots, and using them to simplify the numerical expressions and solving mathematical problems including real-life applications.","2. Adding, subtracting, multiplying, and dividing rational numbers."
Grade 9,Math,Numbers and operations,"9-4-1-2-2 Performing the four operations on integers, rational numbers, and square roots, and using them to simplify the numerical expressions and solving mathematical problems including real-life applications.","5. Solving mathematical problems including real-life applications that require the four operations on integers and rational numbers, numerical expressions, and providing and explanation their solutions."
Grade 9,Math,Numbers and operations,"9-4-1-2-3 Finding the ratio, unit rate, percentage, estimating them, and distinguishing proportional relationships, solving proportions, and solving mathematical problems including real-life applications.","4. Distinguishing percentage, proportion, and using it to find one value when two of the following are known: percentage, whole, and part."
Grade 9,Math,Statistics and probabilities,"9-4-4-3-1 Writing the sample space of a random experiment, finding the number of possible outcomes, distinguishing types of events, and calculating their probabilities.","3. Distinguishing types of events (simple and compound, mutually exclusive and non-mutually exclusive, complementary, independent and dependent) and calculating their probabilities."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-1 Describing some of the methods, techniques and tools used in exploring the","1. Explaining the means, techniques and tools used in space exploration and listing the most important space flights."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-1 Describing some of the methods, techniques and tools used in exploring the","2. Explaining one of the means of exploring the universe, illustrating its basic characteristics and its most prominent advantages."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-1 Describing some of the methods, techniques and tools used in exploring the","3. Organizing and analyzing the data and information available on the vastness and magnitude of the universe, on the number of galaxies, their cosmic distances and paths, to provide evidence for them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-2 Analyzing information related to the movement of celestial bodies and their apparent and relative locations, and deducing the conditions prevailing in","1. Describing the changes resulting from the phenomenon of heat transfer, retention and their effects."
Grade 9,Science,Earth and Space Sciences,"9-5-3-1-2 Analyzing information related to the movement of celestial bodies and their apparent and relative locations, and deducing the conditions prevailing in",2. Analyzing information related to the movement of celestial bodies across the sky to know their apparent and relative locations.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-1 Explaining the causes of climate change, its effects and associated",3. Providing evidence of the causes of climate change in some parts of the world and its future consequences.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-2 Understanding the importance of the carbon cycle, its geological utility and describing the phenomena associated",2. Describing the phenomena associated with the process of carbon transport through the earth's layers and various materials.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-4 Describing the types of rocks and minerals, their characteristics and","1. Determining the general and specific characteristics of rocks and minerals, and indicating their uses in his area."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-4 Describing the types of rocks and minerals, their characteristics and",2. Classifying minerals and providing examples for comparison to identify similarities and differences between them.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-5 Explaining the characteristics of different rocks, their classification methods, and the cycle of their change from one type to another.",2. Comparing the types of metamorphic rocks to determine the similarities and differences in their characteristics.
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-5 Explaining the characteristics of different rocks, their classification methods, and the cycle of their change from one type to another.","3. Explaining the characteristics of sedimentary rocks, the method of their formation, and the best way to classify them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-5 Explaining the characteristics of different rocks, their classification methods, and the cycle of their change from one type to another.","4. Describes the rock cycle, the transformation of rocks from one type to another, and the processes and changes associated with it."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","1. Defining the theory of the earth's plates, their structure and components, listing their types (oceanic and continental), identifying the lithosphere, the plate and the fluid layers, and distinguishing the shape of each of them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","2. Defining earthquakes, seismic waves and their types, and defining the epicenter of the earthquake and distinguishing each of them through drawing."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","3. Explaining the phenomena resulting from earthquakes, explaining the reasons of their occurrence, showing their destructive effects, and explaining ways to be safe from them."
Grade 9,Science,Earth and Space Sciences,"9-5-3-2-6 Explaining the causes of stresses affecting the rocks that make up the Earth’s interior, and describing the resulting effects.","4. Listing the different forms of volcanoes (shield, conical, compound, and fissure eruptions), identifying and distinguishing each of them, and providing an example."
Grade 9,Science,Earth and Space Sciences,9-5-3-2-7 Analyzing information and data related to the theory of plate motion and continental drift and predicting its results and benefits.,"2. Explaining what is meant by moving plate boundaries, listing their types (convergence boundaries, divergence boundaries, and lateral or transformational boundaries), and distinguishing each type."
Grade 9,Science,Earth and Space Sciences,9-5-3-3-1 Tracking some of the changes that occurred to the Earth as a result of human activity and exploring the natural hazards that may occur on Earth and how to predict them.,1. Describing environmental changes and their negative effects on natural resources and tracks their occurrence over time.
Grade 9,Science,Earth and Space Sciences,9-5-3-3-1 Tracking some of the changes that occurred to the Earth as a result of human activity and exploring the natural hazards that may occur on Earth and how to predict them.,1. Describing the impact of human activity on the future of the Earth and predicting various and adverse changes in human life.
Grade 9,Science,Earth and Space Sciences,9-5-3-3-1 Tracking some of the changes that occurred to the Earth as a result of human activity and exploring the natural hazards that may occur on Earth and how to predict them.,3. Proposing solutions and means to prevent natural and human hazards and proving their effectiveness.
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.","1. Identifying the basic unit of structure of living organisms, stating the principles of the cell theory, recognizing the importance of technological tools (magnifying devices and microscopes), and explaining their role in identifying cells and their components."
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.","2. Describing cell structures, relating them to their specialized functions within the cell, and explaining how each structure contributes to overall cellular functions."
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.",3. Comparing unicellular and multicellular organisms and providing examples of each.
Grade 9,Science,Life Sciences,"9-5-1-1-1 Understanding that the cell is the basic building unit of living organisms, knowing some of the technologies that helped study them, and comparing single-celled and multi-cellular organisms.",4. Describing the vital activities and processes of the cell that are necessary for the continuation of life in living organisms
Grade 9,Science,Life Sciences,9-5-1-1-2 Describing the main events in the stages of the cell cycle and comparing between mitosis and meiosis.,"2. Explaining the importance of interphase and cell division, describing the condition of cells during these stages, and distinguishing them from active cells."
Grade 9,Science,Life Sciences,9-5-1-1-2 Describing the main events in the stages of the cell cycle and comparing between mitosis and meiosis.,3. Defining mitosis and identifying its successive phases and the changes that occur in the cell during each phase.
Grade 9,Science,Life Sciences,9-5-1-1-2 Describing the main events in the stages of the cell cycle and comparing between mitosis and meiosis.,"5. Comparing mitosis and meiosis in terms of importance, stages, outcomes, and the types of cells in which each division occurs."
Grade 9,Science,Life Sciences,9-5-1-1-3 Understanding the importance of integration of human body systems and how the structure of different organ relate to one another to maintain homeostasis and body health.,2. Explaining how the systems interact and integrate in maintaining homeostasis health and safety of the body's balance.
Grade 9,Science,Life Sciences,9-5-1-1-3 Understanding the importance of integration of human body systems and how the structure of different organ relate to one another to maintain homeostasis and body health.,3. Predicting diseases resulting from a malfunction in the functioning of organs and systems in the human body and suggesting ways of prevention.
Grade 9,Science,Life Sciences,"9-5-1-3-1 Explaining the impact of changes in biodiversity on the environment and humans at both local and global levels, and describing how the ability of species to adapt to diverse environmental conditions affects biodiversity.",1. inferring the impact of biodiversity on species survival and the sustainability of ecosystems.
Grade 9,Science,Life Sciences,"9-5-1-3-1 Explaining the impact of changes in biodiversity on the environment and humans at both local and global levels, and describing how the ability of species to adapt to diverse environmental conditions affects biodiversity.",2. Explaining the impact of species’ ability to adapt to diverse environmental conditions on biodiversity in different ecosystems.
Grade 9,Science,Life Sciences,"9-5-1-3-1 Explaining the impact of changes in biodiversity on the environment and humans at both local and global levels, and describing how the ability of species to adapt to diverse environmental conditions affects biodiversity.","3. inferring the consequences of the extinction of certain species of living organisms and its impact on biodiversity in the Kingdom of Saudi Arabia, proposes possible solutions to address a problem that threatens biodiversity in the local environment, and explains the national efforts made to reduce the extinction of endangered species ."
Grade 9,Science,Life Sciences,9-5-1-3-2 Explaining the impact of extinction on biodiversity and describing the changes that have occurred in biodiversity throughout the history of life,"1. Organizing data on the appearance of specific fossilized organisms (fossils) in the fossil record as a function of time, determined by their position in sedimentary layers or by rock ages."
Grade 9,Science,Life Sciences,9-5-1-3-2 Explaining the impact of extinction on biodiversity and describing the changes that have occurred in biodiversity throughout the history of life,2. Analyzing data using graphs and maps to provide evidence illustrating the changes that have occurred in living organisms throughout the history of life on Earth.
Grade 9,Science,Life Sciences,"9-5-1-3-3 Explaining how matter and energy are transferred within an ecosystem, predicting the changes resulting from the extinction of one of its components, describing material cycles in the ecosystem, and inferring their role in supporting its sustainability.","2. Describing material cycles (water, carbon dioxide, and nitrogen) in an ecosystem and their transfer through biotic and abiotic components, and inferring their role in supporting sustainability."
Grade 9,Science,Life Sciences,9-5-1-3-4 Describing types of aquatic and terrestrial ecosystems and the interactive relationships among their components.,"1. Describing aquatic and terrestrial ecosystems, identifying the characteristics of the biological populations that live within them, and explaining how they interact together to form a biological community."
Grade 9,Science,Life Sciences,9-5-1-3-4 Describing types of aquatic and terrestrial ecosystems and the interactive relationships among their components.,"1. Identifying the characteristics of a balanced ecosystem based on the availability of factors that maintain its balance (availability of clean water, recycling of nutrients, prevention of soil erosion, and diversity of living organisms)."
Grade 9,Science,Life Sciences,9-5-1-3-4 Describing types of aquatic and terrestrial ecosystems and the interactive relationships among their components.,"2. Describing the interactive relationships among living organisms in ecosystems (competition, predation, mutualism, and parasitism)."
Grade 9,Science,Life Sciences,"9-5-1-3-5 Identifying the characteristics of a balanced ecosystem, analyzing the factors and variables that affect its balance, explaining the impact of human activities on it, predicting the consequences of its imbalance, and evaluating designed solutions to address local environmental problems and restore its balance.","2. Distinguishing between human and natural factors that affect ecosystem balance, and predicting the effects resulting from changes in one component of the ecosystem on the living organisms that inhabit it."
Grade 9,Science,Life Sciences,"9-5-1-3-5 Identifying the characteristics of a balanced ecosystem, analyzing the factors and variables that affect its balance, explaining the impact of human activities on it, predicting the consequences of its imbalance, and evaluating designed solutions to address local environmental problems and restore its balance.",3. Analyzing data to identify the factors and variables that affect the efficiency of ecosystems.
Grade 9,Science,Life Sciences,"9-5-1-3-6 Describing the concept of biomass and its sources, and identifying its importance in biofuel production and reducing carbon emissions.",1. Explaining the concept of biomass and identifying its sources.
Grade 9,Science,Life Sciences,"9-5-1-3-6 Describing the concept of biomass and its sources, and identifying its importance in biofuel production and reducing carbon emissions.",2. Describing the concept of biofuel and inferring its advantages and limitations.
Grade 9,Science,Life Sciences,"9-5-1-3-6 Describing the concept of biomass and its sources, and identifying its importance in biofuel production and reducing carbon emissions.","3. Explaining the efforts of the Kingdom of Saudi Arabia to reduce carbon emissions and their impacts, and providing examples of these efforts."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.","1. Distinguishing the structure of the chromosome, and the relationship between its components. Explaining the concept of a gene, identifying its components and its location on the chromosome, and explains the occurrence of genetic mutation and its effects on making protein in the cell."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.","3. Clarifying the concept of genetics and its principles and explaining how traits are inherited, and explaining the role of alleles."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.","4. Distinguishing between homozygous and heterozygous genes, distinguish between homozygous genes organisms and non- homozygous organisms, and providing an example of each."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.",5. Calculating the probability of the appearance of genetic characteristics of living organisms using the Punnett square.
Grade 9,Science,Life Sciences,"9-5-1-4-2 Describing the structure of the chromosome and the relationship between its components, and predicting the results of the defects that occur in the genetic chain when genetic mutations occur and their effects.","1. Explaining atomic models and their development throughout history, evaluating them and describing their results, and relating that to aspects of the nature of science and the development of scientific knowledge."
Grade 9,Science,Life Sciences,"9-5-1-4-2 Describing the structure of the chromosome and the relationship between its components, and predicting the results of the defects that occur in the genetic chain when genetic mutations occur and their effects.","3. Comparing nucleic acids, DNA and RNA, and describing their shapes and structures, importance and functions of each type."
Grade 9,Science,Physical Sciences,"9-5-2-1-1 Explaining the development of the atomic model throughout history, and understanding the structure and components of the atom.","2. Illustrating the components of the atom's nucleus (protons and neutrons) and their properties, describing the movement of electrons (electronic cloud) around the nucleus, and determining the number of protons, neutrons and electrons in the atom of the elements based on their atomic numbers."
Grade 9,Science,Physical Sciences,"9-5-2-1-1 Explaining the development of the atomic model throughout history, and understanding the structure and components of the atom.","3. Defining isotopes, providing an example of them, comparing isotopes of an element according to mass and atomic numbers, explaining the meaning of radioactive decay, and how it occurs, and differentiating between it and radioactive transformation."
Grade 9,Science,Physical Sciences,"9-5-2-1-2 Comparing between compounds and mixtures, classifying mixtures, suggesting appropriate methods to separate their components, and distinguishing between types of solutions and their components.",2. Classifying homogeneous and heterogeneous mixtures according to the nature of their components.
Grade 9,Science,Physical Sciences,"9-5-2-1-3 Determining the concept of solubility, the rate of solubility in a solution, and deducing the factors affecting the solubility rate of a solute in","1. Explaining the properties of liquids (viscosity, surface tension) according to the composition of the substance, the arrangement of its molecules, and the forces between them."
Grade 9,Science,Physical Sciences,"9-5-2-1-3 Determining the concept of solubility, the rate of solubility in a solution, and deducing the factors affecting the solubility rate of a solute in",2. Inferring the effect of temperature and compound composition on the solubility of a solution and explaining it.
Grade 9,Science,Physical Sciences,"9-5-2-1-3 Determining the concept of solubility, the rate of solubility in a solution, and deducing the factors affecting the solubility rate of a solute in",3. Inferring the factors affecting the rate of solubility of the solute in the solvent for different types of solutions.
Grade 9,Science,Physical Sciences,"9-5-2-1-4 Explaining the properties of liquids, comparing crystalline and amorphous solids, and describing the pattern of crystals in solids.","2. Explaining the properties of the elements in the periodic table sectors within the period and group, and lists the uses of the common elements around it."
Grade 9,Science,Physical Sciences,"9-5-2-1-5 Describing the history of the periodic table, explaining how the elements are organized in the periodic table, and the properties of the elements and their common uses.","4. Recognizing the location of the representative elements, the transitional elements, and the inner transition (lanthanides and actinides) in the periodic table, based on their electronic composition, predicting their physical and chemical properties, and identifying some of their uses."
Grade 9,Science,Physical Sciences,"9-5-2-1-5 Describing the history of the periodic table, explaining how the elements are organized in the periodic table, and the properties of the elements and their common uses.","5. Explaining the meaning of processed elements and catalyst, and providing examples for each."
Grade 9,Science,Physical Sciences,"9-5-2-1-7 Explaining how atoms bond with each other, identifying what is a chemical bond and how it is formed, and distinguishing between different types","4. Explaining the concept of a chemical bond, comparing its different types (ionic, covalent, metallic, and polar), and describing how atoms are linked together by different chemical bonds to form compounds, using examples and illustrative models."
Grade 9,Science,Physical Sciences,"9-5-2-1-8 Understanding how a chemical reaction occurs, expressing it in a balanced chemical equation based on the law of conservation of mass, and distinguishing chemical reactions according to the energy associated with",2. Describing a chemical reaction using a balanced verbal and symbolic chemical equation and apply the law of conservation of mass to different chemical reactions.
Grade 9,Science,Physical Sciences,"9-5-2-1-8 Understanding how a chemical reaction occurs, expressing it in a balanced chemical equation based on the law of conservation of mass, and distinguishing chemical reactions according to the energy associated with","3. Listing the different forms of energy associated with chemical reactions (absorbed, released), and providing examples thereof."
Grade 9,Science,Physical Sciences,9-5-2-2-1 Describing the movement of a body based on the concepts of the main elements of movement and distinguishing between them.,"2. Explaining the concept of acceleration for a moving body, and indicating the time of its occurrence. Calculating the value of positive and negative acceleration"
Grade 9,Science,Physical Sciences,9-5-2-2-1 Describing the movement of a body based on the concepts of the main elements of movement and distinguishing between them.,"3. Explaining the relationship between acceleration, velocity, displacement, time and direction of motion theoretically and mathematically."
Grade 9,Science,Physical Sciences,9-5-2-2-1 Describing the movement of a body based on the concepts of the main elements of movement and distinguishing between them.,"4. Identifying the circular motion, show the effect of the centripetal force on it, and provide an example of it."
Grade 9,Science,Physical Sciences,9-5-2-2-2 Understanding the concept of momentum and the law of momentum conservation.,1. Stating Newton's first law of motion and providing examples thereof.
Grade 9,Science,Physical Sciences,9-5-2-2-2 Understanding the concept of momentum and the law of momentum conservation.,3. Predicting the motion of bodies based on the principle of conservation of momentum and providing examples thereof.
Grade 9,Science,Physical Sciences,"9-5-2-2-3 Understanding the concept of friction force, its types, and how it affects the movement of objects.","2. Defining the force of friction, give examples of it, and explaining how friction affects motion."
Grade 9,Science,Physical Sciences,9-5-2-2-4 Understanding the concept of moment of inertia and reformulating Newton›s first law based on it.,2. Formulating Newton's first law according to the moment of inertia.
Grade 9,Science,Physical Sciences,9-5-2-2-5 Understanding Newton›s second law theoretically and graphically and determining the relationship between body acceleration and the factors affecting,"2. Determining the relationship between the acceleration of the body and the factors affecting it, based on Newton's second law, theoretically and mathematically."
Grade 9,Science,Physical Sciences,9-5-2-2-5 Understanding Newton›s second law theoretically and graphically and determining the relationship between body acceleration and the factors affecting,4. Defining the force of gravity and its effects on bodies and providing examples.
Grade 9,Science,Physical Sciences,9-5-2-2-6 Understanding Newton›s third law and calculating the value of mutual forces mathematically based on it.,1. Explaining the concept of electric current theoretically and by drawing.
Grade 9,Science,Physical Sciences,9-5-2-2-6 Understanding Newton›s third law and calculating the value of mutual forces mathematically based on it.,"2. Formulating Newton's third law and giving practical daily life examples. Explaining some phenomena in light of it, such as weightlessness and free fall, theoretically and graphically"
Grade 9,Science,Physical Sciences,"9-5-2-3-1 Explaining the concept of electric current and methods of generating it in electrical circuits and its relationship to voltage and electrical resistance, and distinguishing between direct and alternating currents.","1. Explaining the formation of the electric force between charges theoretically and graphically, and describing its relationship to the electric field."
Grade 9,Science,Physical Sciences,"9-5-2-3-1 Explaining the concept of electric current and methods of generating it in electrical circuits and its relationship to voltage and electrical resistance, and distinguishing between direct and alternating currents.",2. Describing the methods of generating electric current in electrical circuits
Grade 9,Science,Physical Sciences,"9-5-2-3-1 Explaining the concept of electric current and methods of generating it in electrical circuits and its relationship to voltage and electrical resistance, and distinguishing between direct and alternating currents.","3. Determines the relationship between electric current, electric voltage, and electrical resistance, and calculates the value of each using Ohm’s law mathematically"
Grade 9,Science,Physical Sciences,9-5-2-3-3Comparing between different types of materials in terms of their electrical conductivity.,1. Comparing the types of materials in terms of their electrical conductivity. Providing examples of conductive and insulating materials and their uses in daily life.
Grade 9,Science,Physical Sciences,9-5-2-3-3Comparing between different types of materials in terms of their electrical conductivity.,"1. Explaining the relationship between the electric current and the magnetic field, and deducing the factors that control it."
Grade 9,Science,Physical Sciences,"9-5-2-4-1 Clarifying the concept of thermal energy, its impact and its relationship to temperature.",1. Explaining the concept of thermal energy. Giving examples of thermal energy and its effects on his daily life
Grade 9,Science,Physical Sciences,"9-5-2-4-1 Clarifying the concept of thermal energy, its impact and its relationship to temperature.",2. Describing the relationship between thermal energy and temperature.
Grade 9,Science,Physical Sciences,"9-5-2-4-2 Understanding the mechanism of heat transmission and conduction between objects, and measuring temperature.",3. Distinguishing between materials based on their degree of heat conduction.
Grade 9,Science,Physical Sciences,9-5-2-4-3Understanding specific heat and the factors affecting it.,"1. Comparing between the characteristics of the body's kinetic energy, potential energy, and the factors affecting each type. And provides real-world examples of conversion between the two"
Grade 9,Science,Physical Sciences,9-5-2-4-3Understanding specific heat and the factors affecting it.,2. Determining the factors affecting the body's absorption or loss of thermal energy.
Grade 9,Science,Physical Sciences,9-5-2-4-4 Distinguishing between the kinetic and potential energy of a body and the factors affecting them.,"3. Calculating the kinetic and potential energy of objects, and deducing the relationship between them."
Grade 9,Science,Physical Sciences,9-5-2-4-5 Understanding the law of energy conservation during its transformations and suggesting ways to generate energy.,2. Tracking a series of applications of technical or natural energy transformations and applying the law of conservation of energy in it.
Grade 9,Science,Physical Sciences,9-5-2-5-1 Understanding the behavior and characteristics of sound waves.,"1. Explaining the concept of light wave theoretically and by drawing, and defining the type of light wave (longitudinal or transverse.), describing the properties of light waves (wavelength, frequency, amplitude) mathematically and graphically."
Grade 9,Science,Physical Sciences,9-5-2-5-1 Understanding the behavior and characteristics of sound waves.,3. Explaining the occurrence of echo and its applications in daily life.
Grade 9,Science,Physical Sciences,"9-5-2-5-2 Understanding the behavior of light waves, their distinctive properties, and their associated applications.",2. Explaining color vision based on the properties of light waves as they travel through physical media.
Grade 9,Science,Physical Sciences,"9-5-2-5-2 Understanding the behavior of light waves, their distinctive properties, and their associated applications.",3. Explaining with examples the applications of light electromagnetic spectrum in everyday life.
Grade 9,Science,Physical Sciences,"9-5-2-5-2 Understanding the behavior of light waves, their distinctive properties, and their associated applications.","4. Explaining the reflection, refraction, and absorption of light through its transmission through different media."
