quiz_title,subject,grade,outcome_text,question,option_1,option_2,option_3,option_4,answer,image_topic,image_description,ai_prompt,image_url
Math G9: Distinguishing the congruence and similarity of - Set 2,Math,9,"9-4-3-1-4 Distinguishing the congruence and similarity of two polygons, using them to find unknown measures, and solving mathematical problems including real-life applications.","If two polygons are similar, what does this mean about the corresponding areas?",The corresponding areas are equal,The corresponding areas are supplementary,The corresponding areas are proportional,The corresponding areas are congruent,The corresponding areas are proportional,Four basic 2D shapes shown...,"Four basic 2D shapes shown together: square (4 equal sides, 4 right angles), rectangle (opposite sides equal, 4 right angles), triangle (3 sides, 3 angles), circle (continuous curved line). Each labeled with its name and key properties.","Create an educational diagram for Math Grade 9 based on the question: ""If two polygons are similar, what does this mean about the corresponding areas?"". The diagram must show: Four basic 2D shapes shown together: square (4 equal sides, 4 right angles), rectangle (opposite sides equal, 4 right angles), triangle (3 sides, 3 angles), circle (continuous curved line). Each labeled with its name and key properties.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the congruence and similarity of - Set 2,Math,9,"9-4-3-1-4 Distinguishing the congruence and similarity of two polygons, using them to find unknown measures, and solving mathematical problems including real-life applications.",What is the relationship between the corresponding sides of two similar polygons with a scale factor of 4?,The corresponding sides are equal,The corresponding sides are supplementary,"The corresponding sides are proportional, with the first polygon being larger","The corresponding sides are proportional, with the second polygon being larger","The corresponding sides are proportional, with the second polygon being larger",Four basic 2D shapes shown...,"Four basic 2D shapes shown together: square (4 equal sides, 4 right angles), rectangle (opposite sides equal, 4 right angles), triangle (3 sides, 3 angles), circle (continuous curved line). Each labeled with its name and key properties.","Create an educational diagram for Math Grade 9 based on the question: ""What is the relationship between the corresponding sides of two similar polygons with a scale factor of 4?"". The diagram must show: Four basic 2D shapes shown together: square (4 equal sides, 4 right angles), rectangle (opposite sides equal, 4 right angles), triangle (3 sides, 3 angles), circle (continuous curved line). Each labeled with its name and key properties.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","In a right triangle, if the length of the hypotenuse is 10 cm and the length of one leg is 6 cm, what is the sine of the angle opposite the 6 cm leg?",The sine of the angle is 0.6,The sine of the angle is 0.4,The sine of the angle is 0.8,The sine of the angle is 0.2,The sine of the angle is 0.6,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""In a right triangle, if the length of the hypotenuse is 10 cm and the length of one leg is 6 cm, what is the sine of the angle opposite the 6 cm leg?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.",What is the value of the cosine of an angle in a right triangle if the length of the hypotenuse is 15 cm and the length of the adjacent leg is 9 cm?,The cosine of the angle is 0.6,The cosine of the angle is 0.4,The cosine of the angle is 0.8,The cosine of the angle is 0.2,The cosine of the angle is 0.6,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""What is the value of the cosine of an angle in a right triangle if the length of the hypotenuse is 15 cm and the length of the adjacent leg is 9 cm?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","If the length of the hypotenuse of a right triangle is 12 cm and the length of one leg is 8 cm, what is the tangent of the angle opposite the 8 cm leg?",The tangent of the angle is 0.6,The tangent of the angle is 0.4,The tangent of the angle is 0.8,The tangent of the angle is 0.2,The tangent of the angle is 0.6,A right triangle with the...,"A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.","Create an educational diagram for Math Grade 9 based on the question: ""If the length of the hypotenuse of a right triangle is 12 cm and the length of one leg is 8 cm, what is the tangent of the angle opposite the 8 cm leg?"". The diagram must show: A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","In a right triangle, the length of the hypotenuse is 20 cm and the length of one leg is 12 cm. What is the secant of the angle opposite the 12 cm leg?",The secant of the angle is 1.6,The secant of the angle is 1.4,The secant of the angle is 1.8,The secant of the angle is 1.2,The secant of the angle is 1.6,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""In a right triangle, the length of the hypotenuse is 20 cm and the length of one leg is 12 cm. What is the secant of the angle opposite the 12 cm leg?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.",What is the value of the cotangent of an angle in a right triangle if the length of the hypotenuse is 18 cm and the length of the adjacent leg is 12 cm?,The cotangent of the angle is 1.5,The cotangent of the angle is 1.2,The cotangent of the angle is 1.8,The cotangent of the angle is 1.4,The cotangent of the angle is 1.5,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""What is the value of the cotangent of an angle in a right triangle if the length of the hypotenuse is 18 cm and the length of the adjacent leg is 12 cm?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","If the length of the hypotenuse of a right triangle is 15 cm and the length of one leg is 9 cm, what is the cosecant of the angle opposite the 9 cm leg?",The cosecant of the angle is 1.6,The cosecant of the angle is 1.4,The cosecant of the angle is 1.8,The cosecant of the angle is 1.2,The cosecant of the angle is 1.6,A right triangle with the...,"A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.","Create an educational diagram for Math Grade 9 based on the question: ""If the length of the hypotenuse of a right triangle is 15 cm and the length of one leg is 9 cm, what is the cosecant of the angle opposite the 9 cm leg?"". The diagram must show: A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","In a right triangle, the length of the hypotenuse is 25 cm and the length of one leg is 15 cm. What is the sine of the angle opposite the 15 cm leg?",The sine of the angle is 0.6,The sine of the angle is 0.4,The sine of the angle is 0.8,The sine of the angle is 0.2,The sine of the angle is 0.6,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""In a right triangle, the length of the hypotenuse is 25 cm and the length of one leg is 15 cm. What is the sine of the angle opposite the 15 cm leg?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.",What is the value of the cosine of an angle in a right triangle if the length of the hypotenuse is 30 cm and the length of the adjacent leg is 20 cm?,The cosine of the angle is 0.6,The cosine of the angle is 0.4,The cosine of the angle is 0.8,The cosine of the angle is 0.2,The cosine of the angle is 0.6,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""What is the value of the cosine of an angle in a right triangle if the length of the hypotenuse is 30 cm and the length of the adjacent leg is 20 cm?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","If the length of the hypotenuse of a right triangle is 20 cm and the length of one leg is 12 cm, what is the tangent of the angle opposite the 12 cm leg?",The tangent of the angle is 0.6,The tangent of the angle is 0.4,The tangent of the angle is 0.8,The tangent of the angle is 0.2,The tangent of the angle is 0.6,A right triangle with the...,"A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.","Create an educational diagram for Math Grade 9 based on the question: ""If the length of the hypotenuse of a right triangle is 20 cm and the length of one leg is 12 cm, what is the tangent of the angle opposite the 12 cm leg?"". The diagram must show: A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the basic trigonometric ratios of - Set 1,Math,9,"9-4-3-1-5 Distinguishing the basic trigonometric ratios of an acute angle and their inverses, finding each of them, and using them to solve right triangles.","In a right triangle, the length of the hypotenuse is 18 cm and the length of one leg is 12 cm. What is the secant of the angle opposite the 12 cm leg?",The secant of the angle is 1.5,The secant of the angle is 1.2,The secant of the angle is 1.8,The secant of the angle is 1.4,The secant of the angle is 1.5,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""In a right triangle, the length of the hypotenuse is 18 cm and the length of one leg is 12 cm. What is the secant of the angle opposite the 12 cm leg?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 1,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.","A point (2, 3) is reflected over the x-axis. What are the coordinates of the reflected point?","(2, -3)","(2, 3)","(-2, 3)","(2, 0)","(2, -3)",A Cartesian coordinate plane with...,A Cartesian coordinate plane with x-axis (horizontal) and y-axis (vertical) labeled. Plot a point and its mirror image across the x-axis or y-axis. Draw a dashed mirror line. Label coordinates of both the original point and its reflection.,"Create an educational diagram for Math Grade 9 based on the question: ""A point (2, 3) is reflected over the x-axis. What are the coordinates of the reflected point?"". The diagram must show: A Cartesian coordinate plane with x-axis (horizontal) and y-axis (vertical) labeled. Plot a point and its mirror image across the x-axis or y-axis. Draw a dashed mirror line. Label coordinates of both the original point and its reflection.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",A dilation is a transformation that changes the size of a figure. What type of dilation occurs when a figure is enlarged by a scale factor of 2?,The figure is reduced to half its original size.,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is enlarged by a scale factor of 3.,The figure is enlarged by a scale factor of 2.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""A dilation is a transformation that changes the size of a figure. What type of dilation occurs when a figure is enlarged by a scale factor of 2?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",What is the center of dilation for a figure that is enlarged by a scale factor of 3?,The point of enlargement is the center of dilation.,The center of dilation is the midpoint of the line segment.,The center of dilation is the point of enlargement.,The center of dilation is the endpoint of the line segment.,The point of enlargement is the center of dilation.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""What is the center of dilation for a figure that is enlarged by a scale factor of 3?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",A dilation with a scale factor of 1/2 reduces a figure to what size?,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is reduced to half its original size.,The figure is enlarged by a scale factor of 3.,The figure is reduced to half its original size.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""A dilation with a scale factor of 1/2 reduces a figure to what size?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",What is the scale factor for a dilation that reduces a figure to 1/4 of its original size?,The scale factor is 1/2.,The scale factor is 1/4.,The scale factor is 2.,The scale factor is 3.,The scale factor is 1/4.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""What is the scale factor for a dilation that reduces a figure to 1/4 of its original size?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",What is the effect of a dilation with a scale factor of 0 on a figure?,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is reduced to half its original size.,The figure disappears.,The figure disappears.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""What is the effect of a dilation with a scale factor of 0 on a figure?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",A dilation with a scale factor of 2 enlarges a figure by a factor of what?,The figure is reduced to half its original size.,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is enlarged by a scale factor of 3.,The figure is enlarged by a scale factor of 2.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""A dilation with a scale factor of 2 enlarges a figure by a factor of what?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",What is the effect of a dilation with a scale factor of 1 on a figure?,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is reduced to half its original size.,The figure disappears.,The figure remains the same size.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""What is the effect of a dilation with a scale factor of 1 on a figure?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",A dilation with a scale factor of 3/2 enlarges a figure by a factor of what?,The figure is reduced to half its original size.,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is enlarged by a scale factor of 3.,The figure is enlarged by a scale factor of 3.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""A dilation with a scale factor of 3/2 enlarges a figure by a factor of what?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",What is the center of dilation for a figure that is reduced to half its original size?,The point of enlargement is the center of dilation.,The center of dilation is the midpoint of the line segment.,The center of dilation is the point of enlargement.,The center of dilation is the endpoint of the line segment.,The point of enlargement is the center of dilation.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""What is the center of dilation for a figure that is reduced to half its original size?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Determining the type of geometric transformation - Set 2,Math,9,"9-4-3-2-2 Determining the type of geometric transformation in the coordinate plane, and drawing the image resulting from these transformations.",A dilation with a scale factor of 1/3 reduces a figure to what size?,The figure is enlarged by a scale factor of 2.,The figure remains the same size.,The figure is reduced to 1/3 of its original size.,The figure is enlarged by a scale factor of 3.,The figure is reduced to 1/3 of its original size.,A Cartesian coordinate grid with...,"A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.","Create an educational diagram for Math Grade 9 based on the question: ""A dilation with a scale factor of 1/3 reduces a figure to what size?"". The diagram must show: A Cartesian coordinate grid with the x-axis (horizontal) and y-axis (vertical) intersecting at the origin (0,0). Mark grid lines at regular intervals. Plot 2-3 example points and label their coordinates in parentheses.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the formulas for perimeter and - Set 1,Math,9,"9-4-3-3-2 Distinguishing the formulas for perimeter and area of two-dimensional shapes, using them to find perimeters and areas, and solving mathematical problems including real-life applications.","If a square and a rectangle are similar, what is the relationship between their perimeters?",The perimeters are equal.,The perimeters are proportional.,The perimeters are inversely proportional.,The perimeters are unrelated.,The perimeters are proportional.,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""If a square and a rectangle are similar, what is the relationship between their perimeters?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the formulas for perimeter and - Set 1,Math,9,"9-4-3-3-2 Distinguishing the formulas for perimeter and area of two-dimensional shapes, using them to find perimeters and areas, and solving mathematical problems including real-life applications.","A triangle and a square are similar. If the perimeter of the triangle is 12 cm, what is the perimeter of the square?",6 cm,12 cm,18 cm,24 cm,12 cm,Two triangles of different sizes...,"Two triangles of different sizes with the same shape. Mark matching angles with identical arc symbols (single, double, triple arcs) on corresponding vertices. Label side proportions (e.g., ""scale factor 2:1"") to show similarity.","Create an educational diagram for Math Grade 9 based on the question: ""A triangle and a square are similar. If the perimeter of the triangle is 12 cm, what is the perimeter of the square?"". The diagram must show: Two triangles of different sizes with the same shape. Mark matching angles with identical arc symbols (single, double, triple arcs) on corresponding vertices. Label side proportions (e.g., ""scale factor 2:1"") to show similarity.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the formulas for perimeter and - Set 1,Math,9,"9-4-3-3-2 Distinguishing the formulas for perimeter and area of two-dimensional shapes, using them to find perimeters and areas, and solving mathematical problems including real-life applications.","If a rectangle and a square are similar, what is the relationship between their areas?",The areas are equal.,The areas are proportional.,The areas are inversely proportional.,The areas are unrelated.,The areas are proportional.,Four angle examples labeled: acute...,"Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.","Create an educational diagram for Math Grade 9 based on the question: ""If a rectangle and a square are similar, what is the relationship between their areas?"". The diagram must show: Four angle examples labeled: acute angle (less than 90°, e.g., 45°), right angle (90° with square symbol), obtuse angle (greater than 90°, e.g., 120°), straight angle (180°). Each with arc notation and degree label.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
Math G9: Distinguishing the formulas for perimeter and - Set 1,Math,9,"9-4-3-3-2 Distinguishing the formulas for perimeter and area of two-dimensional shapes, using them to find perimeters and areas, and solving mathematical problems including real-life applications.","A triangle and a rectangle are similar. If the area of the triangle is 15 square cm, what is the area of the rectangle?",7.5 square cm,15 square cm,30 square cm,45 square cm,15 square cm,A right triangle with the...,"A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.","Create an educational diagram for Math Grade 9 based on the question: ""A triangle and a rectangle are similar. If the area of the triangle is 15 square cm, what is the area of the rectangle?"". The diagram must show: A right triangle with the right angle marked by a small square. Label the hypotenuse (longest side, opposite the right angle), the opposite side (across from angle θ), and the adjacent side (next to angle θ). Mark angle θ at one vertex with a curved arc.. Style: flat vector illustration on white background, clear labels, educational diagram, no speech bubbles, no cartoon characters, suitable for a school assessment worksheet.",
